Artículo,Descripción,P.V.P.,Ubicación
460401,TAPA DE REGISTRO B.G. DOBLE,"62,5",8-154 *
460402,"TAPON ACEITE 1/2"" C/RESPIRADERO PLASTICO ( TMD12)","4,84",3-17-1
460402.1,"TAPON ACEITE 1/2"" C/RESPIRADERO ALUMINIO","12,9",3  /   110-1
460402.2,"TAPON ACEITE 1/2"" C/RESPIRADERO PLASTICO C/VARILLA NIVEL",7,6-2-1
460402.3,CUELLO ENTRADA ACEITE BD G1/2,"9,144",MONTAJE
460403,TAPA DE REGISTRO  B.G.,"54,44",8-154 *
460404,JUNTA PAPEL TAPA REGISTRO,"1,85",3-58-2
460405,CARTER B.G. D-45-50-55-60,"364,57",MONTAJE
460406,CARTER B.G. DOBLE D-45-50-55-60,450,MONTAJE
460408,JUNTA PAPEL TAPA REGISTRO BG DOBLE,"2,75",3-50
460409,JUNTA PAPEL TAPA LAT. GRANDE 1 MM,"1,95",3-58-1
460410,TAPA LATERAL B. DIRECTA,"87,015",8-78
460412,CUERPO FILTRO B.G.  2012,"98,5",8-45
460413,CUERPO FILTRO B.G.  CERAMICA,"98,5",8-45
460415,COLECTOR B.G.,"89,945",10-5
460417,JUNTA VALVULA NYLON,"0,33",3-14-1
460418,COLECTOR B.G. CERAMICA,"88,69",8-46 *
460420,ARO FRICCION BIELA BOMBA DOBLE,"5,2",9-23 *
460421.1,BIELA B.G. ALUMINIO,"65,632",3-56
460422,BIELA B.G. ALUMINIO DOBLE (MEDIA),"60,264",9-23 *
460422.1,BIELA B.G. ALUMINIO DOBLE (MEDIA) C/ROSCA M4,"60,264",9-23 *
460423,BULON PISTON,"7,2",3-3-3
460424,CILINDRO ML D-60,"49,75",8-161 *
460426,PISTON LARGO M-12 ML-55-50-45,"45,485",3-78
460427,ESPARRAGO M-14 L-285,"3,7",3-62
460428,JUNTA PAPEL CILINDRO,"0,75",3-39-2
460430,CILINDRO ML D-55,"49,25",8-160 *
460437,SOPORTE EMBOLO D-55,"8,965",3-32-1
460438,SOPORTE EMBOLO D-50,"7,965",3-16-3
460439,SOPORTE EMBOLO D-45,"7,15",3-16-2
460440,CUERPO BOMBA ML D-55,"137,85",10-5
460441,EMBOLO DE CUERO D-55,"13,8985",3- 9
460442,EMBOLO DE CUERO D-50,"12,8013",3-10
460443,EMBOLO DE CUERO D-45,"11,8003",3-11
460445,ARANDELA INOX. D-40-45-50-55 13-27-2,"1,2",3-43-1
460447,SUPLEMENTO EMBOLO D-55,"1,32",3-25
460448,SUPLEMENTO EMBOLO D-50,"1,2375",3-26
